country,date
Denmark,1856-01-04T05:00:00+0000
Liberia,1856-01-09T05:00:00+0000
Japan,1856-01-11T05:00:00+0000
Denmark,1856-01-12T05:00:00+0000
Mexico,1856-01-14T05:00:00+0000
Mexico,1856-01-21T05:00:00+0000
Denmark,1856-01-25T05:00:00+0000
Mexico,1856-01-29T05:00:00+0000
Mexico,1856-02-05T05:00:00+0000
Liberia,1856-02-14T05:00:00+0000
Japan,1856-02-14T05:00:00+0000
Mexico,1856-02-18T05:00:00+0000
Mexico,1856-02-18T05:00:00+0000
France,1856-02-21T05:00:00+0000
Turkey,1856-02-21T05:00:00+0000
Mexico,1856-02-25T05:00:00+0000
Mexico,1856-02-25T05:00:00+0000
Russia,1856-03-10T05:00:00+0000
Mexico,1856-03-14T05:00:00+0000
Japan,1856-03-14T05:00:00+0000
Paraguay,1856-03-21T05:00:00+0000
Mexico,1856-03-28T05:00:00+0000
Turkey,1856-04-01T05:00:00+0000
Mexico,1856-04-02T05:00:00+0000
Denmark,1856-04-09T05:00:00+0000
Mexico,1856-04-11T05:00:00+0000
Denmark,1856-04-14T05:00:00+0000
Turkey,1856-04-18T05:00:00+0000
China,1856-04-21T05:00:00+0000
Paraguay,1856-04-24T05:00:00+0000
Mexico,1856-04-28T05:00:00+0000
Panama,1856-04-30T05:00:00+0000
Spain,1856-05-02T05:00:00+0000
Mexico,1856-05-03T05:00:00+0000
Ecuador,1856-05-06T05:00:00+0000
Turkey,1856-05-09T05:00:00+0000
Turkey,1856-05-12T05:00:00+0000
Turkey,1856-05-13T05:00:00+0000
Peru,1856-05-17T05:00:00+0000
Panama,1856-05-21T05:00:00+0000
Denmark,1856-05-28T05:00:00+0000
Japan,1856-05-29T05:00:00+0000
Denmark,1856-06-07T05:00:00+0000
Mexico,1856-06-18T05:00:00+0000
Panama,1856-06-19T05:00:00+0000
Mexico,1856-06-19T05:00:00+0000
Spain,1856-06-23T05:00:00+0000
Liberia,1856-06-26T05:00:00+0000
Mexico,1856-07-04T05:00:00+0000
France,1856-07-07T05:00:00+0000
Denmark,1856-07-07T05:00:00+0000
Liberia,1856-07-17T05:00:00+0000
Mexico,1856-07-19T05:00:00+0000
Venezuela,1856-07-26T05:00:00+0000
Mexico,1856-07-28T05:00:00+0000
Bolivia,1856-07-28T05:00:00+0000
Spain,1856-07-29T05:00:00+0000
Italy,1856-07-30T05:00:00+0000
Mexico,1856-08-06T05:00:00+0000
Panama,1856-08-11T05:00:00+0000
Italy,1856-08-14T05:00:00+0000
Dominican Republic,1856-08-16T05:00:00+0000
Mexico,1856-08-20T05:00:00+0000
Mexico,1856-08-20T05:00:00+0000
Venezuela,1856-08-20T05:00:00+0000
Russia,1856-08-21T05:00:00+0000
Italy,1856-08-21T05:00:00+0000
Russia,1856-08-21T05:00:00+0000
Mexico,1856-08-21T05:00:00+0000
Russia,1856-08-29T05:00:00+0000
Dominican Republic,1856-09-02T05:00:00+0000
Mexico,1856-09-03T05:00:00+0000
Mexico,1856-09-05T05:00:00+0000
Peru,1856-09-06T05:00:00+0000
Denmark,1856-09-10T05:00:00+0000
Liberia,1856-09-11T05:00:00+0000
Peru,1856-09-19T05:00:00+0000
Panama,1856-09-22T05:00:00+0000
Panama,1856-09-23T05:00:00+0000
Russia,1856-09-25T05:00:00+0000
Peru,1856-09-29T05:00:00+0000
Panama,1856-09-29T05:00:00+0000
Mexico,1856-10-03T05:00:00+0000
Switzerland,1856-10-04T05:00:00+0000
Liberia,1856-10-06T05:00:00+0000
Mexico,1856-10-14T05:00:00+0000
Mexico,1856-10-14T05:00:00+0000
Peru,1856-10-14T05:00:00+0000
Mexico,1856-10-15T05:00:00+0000
Mexico,1856-10-25T05:00:00+0000
France,1856-10-25T05:00:00+0000
Japan,1856-10-25T05:00:00+0000
Mexico,1856-10-29T05:00:00+0000
Mexico,1856-10-30T05:00:00+0000
Spain,1856-11-01T05:00:00+0000
Mexico,1856-11-04T05:00:00+0000
Mexico,1856-11-05T05:00:00+0000
China,1856-11-06T05:00:00+0000
Spain,1856-11-06T05:00:00+0000
Japan,1856-11-08T05:00:00+0000
Dominican Republic,1856-11-08T05:00:00+0000
Spain,1856-11-08T05:00:00+0000
Mexico,1856-11-11T05:00:00+0000
Dominican Republic,1856-11-15T05:00:00+0000
Mexico,1856-11-18T05:00:00+0000
Denmark,1856-11-19T05:00:00+0000
Mexico,1856-11-19T05:00:00+0000
Russia,1856-11-24T05:00:00+0000
Mexico,1856-11-24T05:00:00+0000
France,1856-11-26T05:00:00+0000
Mexico,1856-11-29T05:00:00+0000
Brazil,1856-11-29T05:00:00+0000
Mexico,1856-12-01T05:00:00+0000
Mexico,1856-12-05T05:00:00+0000
Mexico,1856-12-08T05:00:00+0000
Mexico,1856-12-09T05:00:00+0000
Mexico,1856-12-10T05:00:00+0000
Denmark,1856-12-10T05:00:00+0000
Ecuador,1856-12-15T05:00:00+0000
Mexico,1856-12-15T05:00:00+0000
Peru,1856-12-16T05:00:00+0000
Mexico,1856-12-17T05:00:00+0000
Switzerland,1856-12-18T05:00:00+0000
Mexico,1856-12-22T05:00:00+0000
Dominican Republic,1856-12-22T05:00:00+0000
Mexico,1856-12-23T05:00:00+0000
Denmark,1856-12-26T05:00:00+0000
China,1856-12-26T05:00:00+0000
China,1856-12-26T05:00:00+0000
Japan,1856-12-26T05:00:00+0000
Mexico,1856-12-29T05:00:00+0000
Panama,1856-12-29T05:00:00+0000
