iso3,num_occurences
AUS,81
AUT,48
BRB,1
BEL,30
BMU,1
BOL,34
BRA,121
BGR,47
KHM,2
CAN,491
CHL,80
CHN,590
COL,127
CRI,16
CUB,386
CYP,241
DNK,43
DOM,13
ECU,10
EGY,224
ERI,1
ETH,28
FIN,85
FRA,565
GAB,1
GEO,6
DEU,744
GHA,102
GIB,3
GRC,60
GRL,3
GUM,6
GTM,98
HTI,170
HND,62
HKG,20
HUN,880
ISL,4
IND,469
IDN,64
IRN,92
IRQ,59
IRL,4
ISR,77
ITA,274
JAM,1
JPN,582
JOR,10
KEN,25
KWT,4
LBN,72
LBR,20
LBY,27
LUX,4
MDG,4
MLT,10
MEX,74
MAR,184
MOZ,1
NPL,23
NLD,65
PNG,3
NZL,19
NIC,38
NGA,20
NOR,34
OMN,1
PAK,135
PAN,21
PRY,10
PER,45
PHL,15
POL,561
PRT,29
PRI,44
SAU,139
SLE,1
SGP,34
ESP,174
SDN,9
SWZ,1
SWE,52
CHE,40
SYR,163
THA,80
TTO,4
TUN,159
TUR,114
UGA,6
URY,11
VAT,2
VEN,82
VNM,19
YEM,22
